id_qualite,categorie,nom_de_produit,granulometrie,taux_phosphate,humidite
88455229,Lavé,Phosphate brut,2.83,69.79,8.91
4c9c4824,Enrichi,Phosphate lavé,2.57,78.58,1.88
7edc6087,Lavé,Phosphate lavé,1.94,53.51,2.03
4f4cddad,Lavé,Phosphate lavé,2.67,59.54,6.3
48a81528,Lavé,Phosphate lavé,3.52,68.85,8.98
c00c9821,Lavé,Phosphate enrichi,1.93,74.67,2.56
75e53941,Enrichi,Phosphate brut,4.39,59.86,9.77
7beb24c4,Brut,Phosphate enrichi,1.25,62.51,9.88
da50b245,Brut,Phosphate enrichi,3.62,71.93,3.62
8083fe2d,Lavé,Phosphate lavé,0.21,76.13,2.8
16a7c2e3,Lavé,Phosphate lavé,1.57,53.39,5.94
ecc30c3e,Lavé,Phosphate brut,1.67,59.94,7.51
b81bcb77,Brut,Phosphate enrichi,2.42,61.4,9.37
72010a4a,Brut,Phosphate enrichi,0.78,67.37,6.08
0a3ebd7c,Enrichi,Phosphate lavé,2.55,55.07,6.71
738e6db2,Enrichi,Phosphate enrichi,3.66,55.73,2.87
4c5240af,Lavé,Phosphate brut,2.29,64.59,9.0
45b6dcd9,Lavé,Phosphate enrichi,3.32,53.1,8.43
b91ab22f,Lavé,Phosphate enrichi,3.74,76.58,4.3
8f85c4f4,Lavé,Phosphate lavé,3.95,61.45,9.75
0598125b,Enrichi,Phosphate brut,4.14,70.52,7.65
ebf643a0,Lavé,Phosphate enrichi,1.55,57.54,6.18
01055145,Enrichi,Phosphate brut,3.09,61.25,4.62
f81de480,Enrichi,Phosphate enrichi,0.15,71.71,2.86
b6473fdb,Brut,Phosphate enrichi,0.88,65.92,8.76
b8cc210f,Enrichi,Phosphate lavé,3.06,57.79,2.72
