id_arret,date_heure,duree,type,raison,id_camion,id_conducteur
7434ce3c,2025-02-05 00:00:00,1:46:00,Maintenance,Réparation moteur,69,52231afd
aa2094ca,2025-02-06 00:00:00,0:22:00,Maintenance,Vidange,97,a6660c3b
401cfc76,2025-02-07 00:00:00,0:37:00,Maintenance,Crevaison,21,f41f1423
3730e23e,2025-02-08 00:00:00,1:19:00,Pause,Pause déjeuner,10,ce4563d9
5e5d736e,2025-02-09 00:00:00,0:22:00,Panne,Vidange,12,55ac0190
bff55b02,2025-02-10 00:00:00,0:13:00,Panne,Crevaison,13,687fad42
19764fd2,2025-02-11 00:00:00,1:30:00,Pause,Réparation moteur,4,bff8c471
697b9492,2025-02-12 00:00:00,0:17:00,Pause,Réparation moteur,42,ee908026
9de64a52,2025-02-13 00:00:00,0:57:00,Maintenance,Réparation moteur,4,a6660c3b
b6101e06,2025-02-14 00:00:00,1:10:00,Panne,Vidange,66,28a87db0
239b302e,2025-02-15 00:00:00,0:53:00,Pause,Réparation moteur,59,6ac9bb10
aa662966,2025-02-16 00:00:00,0:26:00,Pause,Pause déjeuner,12,6023f930
a6561846,2025-02-17 00:00:00,0:14:00,Panne,Pause déjeuner,47,655c701d
f0a2ffa7,2025-02-18 00:00:00,1:19:00,Pause,Pause déjeuner,24,eb9790bb
b21cfe69,2025-02-19 00:00:00,1:25:00,Panne,Réparation moteur,52,9a14052e
cc76c220,2025-02-20 00:00:00,1:46:00,Maintenance,Crevaison,6,d2fe3aa5
74dc87ef,2025-02-21 00:00:00,1:24:00,Maintenance,Vidange,53,8fd57d3b
e7e1e656,2025-02-22 00:00:00,1:09:00,Pause,Réparation moteur,4,f07caa10
edda5481,2025-02-23 00:00:00,1:01:00,Maintenance,Réparation moteur,54,5fb745b7
f35d6dd4,2025-02-24 00:00:00,1:48:00,Pause,Pause déjeuner,36,b29d6090
45f82f8c,2025-02-25 00:00:00,1:03:00,Panne,Réparation moteur,93,d188a921
fbb303cd,2025-02-26 00:00:00,0:13:00,Maintenance,Pause déjeuner,37,5bfb1675
dc206177,2025-02-27 00:00:00,0:47:00,Panne,Réparation moteur,21,16e058d7
56df81f5,2025-02-28 00:00:00,0:29:00,Panne,Réparation moteur,78,1da7d4e0
636a870b,2025-03-01 00:00:00,0:22:00,Panne,Pause déjeuner,22,71920e93
8cca7e1c,2025-03-02 00:00:00,1:01:00,Panne,Crevaison,11,6d7cbf01
97b14082,2025-03-03 00:00:00,1:42:00,Maintenance,Pause déjeuner,93,1da7d4e0
c6555071,2025-03-04 00:00:00,1:40:00,Maintenance,Crevaison,16,d188a921
066f909a,2025-03-05 00:00:00,0:13:00,Maintenance,Réparation moteur,47,b2223d0b
bb14fbff,2025-03-06 00:00:00,0:41:00,Pause,Pause déjeuner,56,cb6ccae8
3081832f,2025-03-07 00:00:00,1:40:00,Pause,Crevaison,3,6ac9bb10
71978cc4,2025-03-08 00:00:00,0:32:00,Pause,Crevaison,72,beea5737
daaf498f,2025-03-09 00:00:00,1:56:00,Pause,Pause déjeuner,59,ae5530ec
b698a2c5,2025-03-10 00:00:00,1:21:00,Maintenance,Pause déjeuner,5,a6fcc84f
01b4dba3,2025-03-11 00:00:00,1:50:00,Maintenance,Réparation moteur,73,a333833c
be720aad,2025-03-12 00:00:00,1:01:00,Panne,Crevaison,27,7a7ccea9
dd8918ee,2025-03-13 00:00:00,1:39:00,Panne,Pause déjeuner,63,d2fe3aa5
4c3ba2d8,2025-03-14 00:00:00,1:01:00,Pause,Réparation moteur,20,7a7ccea9
57fed9fb,2025-03-15 00:00:00,1:14:00,Pause,Vidange,50,a6660c3b
98fa0926,2025-03-16 00:00:00,1:41:00,Maintenance,Pause déjeuner,61,380055c7
21ac8215,2025-03-17 00:00:00,1:22:00,Maintenance,Crevaison,97,e83f8f2e
33d1337b,2025-03-18 00:00:00,1:48:00,Pause,Réparation moteur,43,c04eeced
d8ad0c65,2025-03-19 00:00:00,1:28:00,Pause,Pause déjeuner,55,bff8c471
947980c7,2025-03-20 00:00:00,1:06:00,Maintenance,Réparation moteur,67,a76a22d7
40a4e14d,2025-03-21 00:00:00,0:31:00,Maintenance,Crevaison,96,5bfb1675
0fd83c94,2025-03-22 00:00:00,0:48:00,Maintenance,Réparation moteur,67,1aad3067
fd9633c2,2025-03-23 00:00:00,1:20:00,Panne,Pause déjeuner,98,ae5530ec
cbb33853,2025-03-24 00:00:00,0:30:00,Maintenance,Crevaison,96,bff8c471
a139abde,2025-03-25 00:00:00,1:18:00,Panne,Crevaison,96,6023f930
eb845d8a,2025-03-26 00:00:00,0:51:00,Pause,Réparation moteur,65,1a82cb10
2f87058f,2025-03-27 00:00:00,1:22:00,Panne,Crevaison,92,99cd690e
9895a74c,2025-03-28 00:00:00,1:09:00,Pause,Réparation moteur,28,c6c2442b
3f71563d,2025-03-29 00:00:00,1:36:00,Panne,Réparation moteur,34,999a1d6b
b18878fa,2025-03-30 00:00:00,0:14:00,Pause,Réparation moteur,13,ce4563d9
e1867893,2025-03-31 00:00:00,1:54:00,Pause,Réparation moteur,63,28a87db0
cceeedd5,2025-04-01 00:00:00,1:38:00,Maintenance,Crevaison,21,6ac9bb10
f3f5dee1,2025-04-02 00:00:00,1:20:00,Panne,Crevaison,62,c04eeced
293155a9,2025-04-03 00:00:00,1:42:00,Pause,Vidange,20,40d34719
53ab4800,2025-04-04 00:00:00,1:44:00,Panne,Vidange,27,3dc7d423
74861281,2025-04-05 00:00:00,1:26:00,Pause,Réparation moteur,81,01ccb423
cf906555,2025-04-06 00:00:00,1:25:00,Panne,Vidange,11,d1e2a98e
92a216f6,2025-04-07 00:00:00,1:43:00,Maintenance,Pause déjeuner,41,7a7ccea9
28815690,2025-04-08 00:00:00,0:16:00,Maintenance,Vidange,63,f3d7f438
bb61c98e,2025-04-09 00:00:00,1:12:00,Maintenance,Crevaison,54,6023f930
fab7e636,2025-04-10 00:00:00,0:46:00,Panne,Vidange,47,ee908026
