id_voyage,date,heure_depart,heure_arrive,distance_km,id_conducteur,id_camion,id_site,quantite_transporte,id_qualite
07e7c3ea,2025-01-23,11:00:00,16:00:00,44.16,e301b960,38,3a151eb0,12,e0b3ac5d
80ab44c8,2025-01-24,09:00:00,11:00:00,45.39,477b58e7,6,86d1576c,20,b0ae09aa
671e5689,2025-01-25,12:00:00,15:00:00,82.08,cdbd0c45,43,1e01e37b,28,e05b356c
8be32976,2025-01-26,11:00:00,15:00:00,54.07,d2b160be,67,86d1576c,13,b8df21a0
e93a1676,2025-01-27,13:00:00,16:00:00,33.66,d7f6c959,19,6af14fbf,8,70ffa39e
f0edfa00,2025-01-28,11:00:00,16:00:00,172.51,d8257fe3,72,778e25a4,27,fcc52e3a
0ac9de12,2025-01-29,16:00:00,21:00:00,27.11,f61319a0,35,778e25a4,16,61bfde6c
bc387571,2025-01-30,11:00:00,16:00:00,48.13,dba99129,94,1e01e37b,27,b32fce45
5f80a6c5,2025-01-31,09:00:00,12:00:00,176.95,bbed7f35,61,6af14fbf,19,fcbc37b3
c2e43aca,2025-02-01,16:00:00,17:00:00,24.98,266eafec,97,3a151eb0,28,9eda5647
a1298cf5,2025-02-02,13:00:00,18:00:00,27.77,636e1128,92,778e25a4,20,5b50c1b9
43f1211b,2025-02-03,12:00:00,17:00:00,106.23,ce1f7f1f,38,1e01e37b,16,3e4f9f00
b43e2330,2025-02-04,10:00:00,11:00:00,112.44,8a32a206,24,6af14fbf,24,989be9cb
bee77bb0,2025-02-05,08:00:00,11:00:00,101.41,b2533a07,40,778e25a4,21,390440f2
bb546d55,2025-02-06,11:00:00,15:00:00,107.05,a5e4f4b1,37,6af14fbf,23,65d4a66d
894ec74d,2025-02-07,12:00:00,13:00:00,86.14,abfcbaff,45,86d1576c,9,28d71a1a
d014078e,2025-02-08,14:00:00,15:00:00,43.6,0d92a4a8,47,1e01e37b,9,71aef6c9
9fed6c2a,2025-02-09,11:00:00,13:00:00,126.5,a65bdadb,93,1e01e37b,21,d652a48a
4efcd722,2025-02-10,16:00:00,18:00:00,157.77,bd9d4820,90,6af14fbf,6,72ba1fdd
eac57ced,2025-02-11,15:00:00,20:00:00,62.22,0b205ebf,66,1e01e37b,26,d61a1982
bfcc4d44,2025-02-12,15:00:00,16:00:00,107.96,f817b99f,46,1e01e37b,14,c47a9462
dfc488b4,2025-02-13,15:00:00,17:00:00,197.62,11f67d77,33,86d1576c,27,3d6cfe21
f0131ec1,2025-02-14,10:00:00,13:00:00,168.53,798651b9,68,778e25a4,12,932d4011
d8d3dff4,2025-02-15,08:00:00,13:00:00,177.36,adc03aeb,96,6af14fbf,12,9c38452a
2319eda7,2025-02-16,14:00:00,15:00:00,120.72,8b23d9b4,34,6af14fbf,6,7fd6ecb4
9e7cdb5a,2025-02-17,12:00:00,15:00:00,155.8,88d30726,42,6af14fbf,11,61bfde6c
bfcecb16,2025-02-18,09:00:00,12:00:00,76.36,02743edf,24,86d1576c,28,989be9cb
e213a74e,2025-02-19,13:00:00,18:00:00,92.8,62a245f2,56,86d1576c,16,ea6eaf98
55ce2d90,2025-02-20,10:00:00,14:00:00,34.35,09537575,22,86d1576c,5,d25d5914
75bc66eb,2025-02-21,13:00:00,16:00:00,152.55,88d30726,42,778e25a4,28,6ab4b48e
57f1fb52,2025-02-22,08:00:00,09:00:00,108.44,a48e79db,32,6af14fbf,17,0f11dbc1
92a34ca8,2025-02-23,16:00:00,19:00:00,43.65,67126ef4,78,1e01e37b,26,7416d073
8fe6d779,2025-02-24,08:00:00,13:00:00,40.17,bd9d4820,31,6af14fbf,27,b531f887
f6d12674,2025-02-25,08:00:00,11:00:00,41.9,3594cd89,41,6af14fbf,24,3cf9ce7c
454a0a3c,2025-02-26,14:00:00,15:00:00,180.89,718439cd,28,3a151eb0,29,ea6eaf98
98e54660,2025-02-27,08:00:00,13:00:00,147.5,55848eb2,48,3a151eb0,17,7ab8afc6
f0ec2ae1,2025-02-28,15:00:00,17:00:00,137.88,88d30726,6,778e25a4,16,d4807832
85ac2169,2025-03-01,10:00:00,12:00:00,90.58,9479fc66,60,778e25a4,23,bb35231e
75c83dbf,2025-03-02,08:00:00,12:00:00,34.92,a65bdadb,15,6af14fbf,12,919d6e62
ca9a74f5,2025-03-03,11:00:00,12:00:00,21.37,636ae2ef,79,86d1576c,8,65d4a66d
c09f4955,2025-03-04,10:00:00,15:00:00,57.41,f817b99f,56,86d1576c,5,d61a1982
90ed2573,2025-03-05,08:00:00,12:00:00,23.75,4ed734b9,86,778e25a4,23,88d424cd
cebb459e,2025-03-06,08:00:00,12:00:00,124.33,09537575,28,1e01e37b,28,e3eb7670
24be56ca,2025-03-07,13:00:00,15:00:00,119.92,d5b1c002,15,6af14fbf,26,cc849984
49b344b6,2025-03-08,09:00:00,11:00:00,26.08,213556b2,76,6af14fbf,10,4627c999
40108404,2025-03-09,10:00:00,15:00:00,45.88,dba99129,30,6af14fbf,11,12240341
a6a00b40,2025-03-10,14:00:00,15:00:00,140.16,9061c804,9,1e01e37b,25,f52354b7
6a8453d1,2025-03-11,09:00:00,14:00:00,39.42,cdbd0c45,56,6af14fbf,9,12240341
94d48351,2025-03-12,08:00:00,11:00:00,20.25,9061c804,27,86d1576c,25,b5cf9c8b
6473092a,2025-03-13,09:00:00,11:00:00,42.01,22ce3361,16,86d1576c,26,86097b08
d8c20b71,2025-03-14,14:00:00,15:00:00,160.88,22ce3361,10,778e25a4,29,89b9676f
9f4c5ec6,2025-03-15,16:00:00,21:00:00,184.83,3f95739c,3,778e25a4,17,12240341
d06fbfa0,2025-03-16,10:00:00,11:00:00,196.18,be3e46dd,63,778e25a4,5,e3eb7670
ec2d03db,2025-03-17,14:00:00,19:00:00,135.05,55848eb2,37,86d1576c,24,12b83af0
e44eabd3,2025-03-18,15:00:00,17:00:00,120.19,ca2ba0fb,39,778e25a4,5,c47a9462
5342740f,2025-03-19,15:00:00,18:00:00,15.2,02743edf,43,778e25a4,24,dc16c269
ddc03707,2025-03-20,08:00:00,09:00:00,31.27,07b5d602,41,1e01e37b,28,4a08723a
5ae6ab12,2025-03-21,08:00:00,12:00:00,146.44,5cea7c68,23,1e01e37b,24,4a08723a
c6189320,2025-03-22,11:00:00,14:00:00,17.45,cdbd0c45,87,3a151eb0,11,bc95af1a
67eebf82,2025-03-23,08:00:00,13:00:00,189.33,fdea4fe4,21,778e25a4,23,932d4011
10f439dc,2025-03-24,15:00:00,20:00:00,83.26,611122ca,80,1e01e37b,16,543b9a25
8b3e5599,2025-03-25,09:00:00,12:00:00,27.68,d5b1c002,78,1e01e37b,9,55fd5f9b
156fcd0d,2025-03-26,10:00:00,13:00:00,32.33,a5e4f4b1,33,6af14fbf,7,61bfde6c
8144f483,2025-03-27,10:00:00,14:00:00,136.68,8734086f,77,3a151eb0,30,71aef6c9
473b236e,2025-03-28,13:00:00,15:00:00,34.31,e9c126d6,47,1e01e37b,15,65d4a66d
10e3b8c3,2025-03-29,10:00:00,12:00:00,145.58,7b29cbe2,55,1e01e37b,10,53d94e81
c25b3123,2025-03-30,15:00:00,20:00:00,197.59,c2caf6e3,5,778e25a4,6,aaf2c4bb
0cebb051,2025-03-31,14:00:00,19:00:00,26.02,8a32a206,6,6af14fbf,26,7327bde4
fb9f17c5,2025-04-01,08:00:00,10:00:00,73.07,09537575,18,6af14fbf,27,26baf4f6
fd45a7c2,2025-04-02,13:00:00,18:00:00,51.29,3f014860,5,3a151eb0,26,066dab89
78b2f5be,2025-04-03,08:00:00,12:00:00,37.68,2c1a68d3,49,3a151eb0,26,0f11dbc1
9caeef7b,2025-04-04,12:00:00,15:00:00,11.97,00671a6e,13,3a151eb0,8,f52354b7
577f6bd2,2025-04-05,13:00:00,15:00:00,102.67,55848eb2,53,3a151eb0,12,1000baba
78e17218,2025-04-06,14:00:00,17:00:00,92.25,9479fc66,94,1e01e37b,22,97072f6a
5b3dc650,2025-04-07,11:00:00,12:00:00,128.13,5d0228d1,95,3a151eb0,21,fc99a3d5
ef11f752,2025-04-08,11:00:00,14:00:00,192.95,8f73ffad,35,86d1576c,20,b726c20c
dc1e4352,2025-04-09,13:00:00,17:00:00,98.46,2c0ceb5e,82,6af14fbf,24,9eda5647
85cb753f,2025-04-10,10:00:00,15:00:00,129.14,d7f6c959,24,1e01e37b,9,c26c4d07
